TeamId, TeamName, SubmissionDate, Score
20099,"Random Forest Benchmark",7/12/2012 6:58:35 PM,0.42781
20102,"Uniform Benchmark",7/12/2012 7:03:39 PM,0.69315
20126,"DataRobot",7/13/2012 5:21:41 AM,0.40851
20103,"__mtb__",7/13/2012 12:23:31 PM,0.43568
20147,"W.Z.Y.",7/13/2012 4:46:01 PM,0.42788
20149,"Search Party",7/13/2012 5:21:11 PM,0.45202
20154,"Black Swan",7/13/2012 6:32:22 PM,0.42781
20156,"jsf",7/13/2012 6:59:08 PM,0.45377
20156,"jsf",7/13/2012 7:23:20 PM,0.40754
20160,"InvincibleGuy",7/14/2012 12:49:32 AM,0.42781
20147,"W.Z.Y.",7/14/2012 4:02:03 AM,0.41662
20163,"Jason Karpeles",7/14/2012 4:29:31 AM,0.42591
20174,"y_tag",7/14/2012 3:06:26 PM,0.38705
20175,"anything_you_like",7/14/2012 3:37:49 PM,0.42781
20136,"Nociv",7/14/2012 5:45:24 PM,0.42553
20189,"Luxtorpeda",7/14/2012 9:05:37 PM,0.42782
20190,"DoubleYou",7/14/2012 9:09:07 PM,0.45022
20193,"Blind Ape",7/14/2012 11:41:58 PM,0.41744
20198,"Alexander  Larko",7/15/2012 4:53:10 AM,0.42145
20136,"Nociv",7/15/2012 8:31:22 AM,0.41344
20126,"DataRobot",7/15/2012 8:31:41 AM,0.37256
20156,"jsf",7/15/2012 1:24:39 PM,0.38660
20195,"WJam909",7/15/2012 1:42:07 PM,0.62049
20206,"Tinkerer",7/15/2012 2:54:34 PM,0.41039
20146,"Kybernetiker",7/15/2012 3:18:26 PM,0.47747
20174,"y_tag",7/15/2012 3:30:41 PM,0.38599
20189,"Luxtorpeda",7/15/2012 4:12:50 PM,0.42285
20189,"Luxtorpeda",7/15/2012 4:14:17 PM,0.42252
20193,"Blind Ape",7/15/2012 4:42:12 PM,0.40480
20147,"W.Z.Y.",7/15/2012 9:18:49 PM,0.41582
20218,"jordan_brooks",7/15/2012 10:29:08 PM,0.71798
20218,"jordan_brooks",7/15/2012 10:40:08 PM,0.62059
20198,"Alexander  Larko",7/16/2012 3:26:33 AM,0.40865
20198,"Alexander  Larko",7/16/2012 8:31:17 AM,0.40455
20231,"Opensandwich",7/16/2012 10:58:12 AM,0.42621
20235,"Zelazny7",7/16/2012 1:31:01 PM,0.47256
20235,"Zelazny7",7/16/2012 2:03:43 PM,0.47156
20218,"jordan_brooks",7/16/2012 3:57:10 PM,0.47939
20239,"razgon",7/16/2012 4:32:51 PM,0.42971
20218,"jordan_brooks",7/16/2012 4:35:58 PM,0.42250
20239,"razgon",7/16/2012 5:07:45 PM,0.41425
20146,"Kybernetiker",7/16/2012 5:46:05 PM,0.42781
20243,"View",7/16/2012 6:24:56 PM,0.42820
20149,"Search Party",7/16/2012 6:29:01 PM,0.43521
20149,"Search Party",7/16/2012 8:07:27 PM,0.43261
20208,"Glen",7/16/2012 8:36:24 PM,0.43856
20208,"Glen",7/16/2012 8:41:55 PM,0.41949
20189,"Luxtorpeda",7/16/2012 9:12:34 PM,0.40730
20126,"DataRobot",7/16/2012 11:02:13 PM,0.37160
20190,"DoubleYou",7/16/2012 11:06:33 PM,0.41592
20114,"PRaDA",7/17/2012 2:14:15 AM,2.72370
20278,"AidBetes",7/17/2012 7:21:50 AM,0.49899
20126,"DataRobot",7/17/2012 2:20:51 PM,0.36776
20287,"skrecok",7/17/2012 2:30:55 PM,0.42781
20235,"Zelazny7",7/17/2012 2:42:17 PM,0.39783
20239,"razgon",7/17/2012 2:56:53 PM,0.39868
20190,"DoubleYou",7/17/2012 3:41:23 PM,0.40835
20124,"Chris Raimondi",7/17/2012 7:45:58 PM,0.41884
20124,"Chris Raimondi",7/17/2012 7:51:36 PM,0.41543
20189,"Luxtorpeda",7/17/2012 8:21:23 PM,0.40108
20303,"A. Clayton",7/17/2012 9:52:31 PM,0.47242
20303,"A. Clayton",7/17/2012 10:04:20 PM,0.42252
20283,"HappyHour",7/17/2012 11:30:46 PM,0.40475
20208,"Glen",7/17/2012 11:32:24 PM,0.41719
20193,"Blind Ape",7/17/2012 11:39:16 PM,0.40457
20308,"Jacob_M",7/18/2012 1:57:14 AM,0.46403
20308,"Jacob_M",7/18/2012 1:58:42 AM,0.43634
20218,"jordan_brooks",7/18/2012 3:44:06 AM,0.42041
20114,"PRaDA",7/18/2012 3:53:47 AM,0.55318
20198,"Alexander  Larko",7/18/2012 4:56:08 AM,0.40350
20316,"Gábor S",7/18/2012 6:57:56 AM,0.41402
20316,"Gábor S",7/18/2012 7:13:23 AM,0.39682
20190,"DoubleYou",7/18/2012 7:46:28 AM,0.40703
20114,"PRaDA",7/18/2012 8:18:34 AM,0.46132
20320,"Dirk Nachbar",7/18/2012 11:06:49 AM,0.42613
20206,"Tinkerer",7/18/2012 12:31:46 PM,0.40486
20283,"HappyHour",7/18/2012 4:39:17 PM,0.39064
20149,"Search Party",7/18/2012 5:21:09 PM,0.40329
20156,"jsf",7/18/2012 5:28:31 PM,0.38375
20243,"View",7/18/2012 7:38:45 PM,0.40187
20206,"Tinkerer",7/18/2012 8:07:27 PM,0.40319
20283,"HappyHour",7/18/2012 8:41:42 PM,0.38397
20189,"Luxtorpeda",7/18/2012 9:00:36 PM,0.39631
20337,"An apple a day",7/18/2012 10:54:32 PM,0.43083
20337,"An apple a day",7/18/2012 11:07:53 PM,0.42960
20337,"An apple a day",7/19/2012 12:28:47 AM,0.42650
20114,"PRaDA",7/19/2012 12:56:24 AM,0.45034
20154,"Black Swan",7/19/2012 6:18:20 AM,0.42497
20190,"DoubleYou",7/19/2012 6:21:12 AM,0.40628
20114,"PRaDA",7/19/2012 8:12:06 AM,0.44403
20278,"AidBetes",7/19/2012 1:10:50 PM,0.42191
20239,"razgon",7/19/2012 3:27:32 PM,0.39259
